Condition,IsWordOfInterest,Global Index,Sentence Index,Word Index,Word,RT(s)
A,False,1,1,1,We,0.6844518184661865
A,False,1,1,2,baked,0.6115069389343262
A,False,1,1,3,a,0.5620708465576172
A,False,1,1,4,pie,0.696040153503418
A,False,1,1,5,filled,0.6802594661712646
A,False,1,1,6,with,0.5556354522705078
A,False,1,1,7,"sweet,",0.6593849658966064
A,False,1,1,8,fresh,0.6153192520141602
A,True,1,1,9,cherries,0.6522438526153564
A,False,1,1,10,for,0.6374959945678711
A,False,1,1,11,his,0.595041036605835
A,False,1,1,12,birthday.,0.6701278686523438
A,False,2,2,1,A,0.7333831787109375
A,False,2,2,2,homemade,0.8672246932983398
A,False,2,2,3,soup,0.6517574787139893
A,False,2,2,4,may,0.6679389476776123
A,False,2,2,5,contain,0.6196863651275635
A,False,2,2,6,some,0.5901772975921631
A,False,2,2,7,leftover,0.9026298522949219
A,False,2,2,8,chunks,0.6880888938903809
A,False,2,2,9,of,0.5271339416503906
A,True,2,2,10,carrots.,0.7709882259368896
B,False,3,1,1,After,0.783057451248169
B,False,3,1,2,the,0.7694292068481445
B,False,3,1,3,"training,",0.6749095916748047
B,False,3,1,4,the,0.44983649253845215
B,False,3,1,5,coach,0.5772168636322021
B,False,3,1,6,handed,0.6044988632202148
B,False,3,1,7,out,0.6546754837036133
B,False,3,1,8,pieces,0.8236725330352783
B,False,3,1,9,of,0.5473964214324951
B,True,3,1,10,broccoli,0.8775756359100342
B,False,3,1,11,to,0.5064980983734131
B,False,3,1,12,the,0.6466553211212158
B,False,3,1,13,team.,0.696317195892334
C,False,4,1,1,Baby,0.6610138416290283
C,False,4,1,2,food,0.5956521034240723
C,False,4,1,3,must,0.5627434253692627
C,False,4,1,4,not,0.5521869659423828
C,False,4,1,5,be,0.6101336479187012
C,False,4,1,6,too,0.6071691513061523
C,True,4,1,7,garlicky.,0.7604479789733887
A,False,5,3,1,The,0.6015257835388184
A,False,5,3,2,kids,0.5413327217102051
A,False,5,3,3,were,0.5653011798858643
A,False,5,3,4,excited,0.6943478584289551
A,False,5,3,5,to,0.5208303928375244
A,False,5,3,6,pick,0.5861763954162598
A,False,5,3,7,ripe,0.7313880920410156
A,True,5,3,8,apples,0.6472234725952148
A,False,5,3,9,from,0.520742654800415
A,False,5,3,10,the,0.5504612922668457
A,False,5,3,11,tree,0.4752078056335449
A,False,5,3,12,in,0.4677162170410156
A,False,5,3,13,the,0.4051532745361328
A,False,5,3,14,backyard.,0.7931478023529053
C,False,6,2,1,He,0.6332221031188965
C,False,6,2,2,loved,0.7220849990844727
C,False,6,2,3,the,0.5558571815490723
C,False,6,2,4,refreshing,1.0744526386260986
C,False,6,2,5,taste,0.6373536586761475
C,False,6,2,6,of,0.5851263999938965
C,False,6,2,7,freshly,0.710827112197876
C,False,6,2,8,squeezed,0.9315900802612305
C,True,6,2,9,celery,1.0806770324707031
C,False,6,2,10,juice.,0.44902777671813965
A,False,7,4,1,For,0.6702637672424316
A,False,7,4,2,"breakfast,",0.649583101272583
A,False,7,4,3,she,0.4735896587371826
A,False,7,4,4,only,0.582892656326294
A,False,7,4,5,ate,0.5482797622680664
A,False,7,4,6,the,0.5016078948974609
A,True,7,4,7,grapes,0.6853084564208984
A,False,7,4,8,someone,0.5527291297912598
A,False,7,4,9,had,0.47425031661987305
A,False,7,4,10,left,0.5033066272735596
A,False,7,4,11,in,0.4422576427459717
A,False,7,4,12,the,0.5839834213256836
A,False,7,4,13,fridge.,0.60054612159729
B,False,8,2,1,At,0.5584049224853516
B,False,8,2,2,the,0.5875310897827148
B,False,8,2,3,"barbecue,",0.8371472358703613
B,False,8,2,4,they,0.5762343406677246
B,False,8,2,5,all,0.5448226928710938
B,False,8,2,6,enjoyed,0.7138206958770752
B,False,8,2,7,roasted,0.6817388534545898
B,True,8,2,8,pineapple,1.1770446300506592
B,False,8,2,9,with,0.5124893188476562
B,False,8,2,10,cheddar,0.5791795253753662
B,False,8,2,11,cheese.,0.5685160160064697
